,category,transit_period,transit_duration,transit_depth,transit_depth.1,planet_radius,star_temperature,star_radius,star_surface_gravity,star_brightness
1847,CANDIDATE,13.3572104,4.947,29950.0,29950.0,19.2978,6636.1,1.12,,1.0209998804985658
1848,CANDIDATE,15.2010859,8.2467072,35221.1348039,35221.1348039,21.1122163,6042.0,1.0687701,4.43,0.9710673572352682
1849,CANDIDATE,4.8103214,3.1996589,16651.539925,16651.539925,,5860.3,,4.3,-0.0654460520511975
1850,CANDIDATE,2.2687617,2.834542,13217.8124266,13217.8124266,12.4983488,5690.0,1.0785,4.38,1.0056218886714643
1851,CANDIDATE,1.8531628,2.019,34220.0,34220.0,13.5946,5355.0,0.68,4.46,1.14089920323019
1852,CANDIDATE,6.3187442,3.504,28370.0,28370.0,16.8683,4961.0,0.98,4.43,1.0013332056917947
1853,CANDIDATE,8.2500143,3.317,2250.0,2250.0,11.8684,7386.5,1.59,4.2,0.3061376946873298
1854,CANDIDATE,12.4724734,3.649,23020.0,23020.0,12.11,4966.0,0.79,,1.0535326042443467
1856,CANDIDATE,10.3558635,3.548,18740.0,18740.0,17.6401,5896.0,1.26,4.27,0.8721213142043163
1857,CANDIDATE,2.4125012,1.209,10860.0,10860.0,13.7942,6190.0,1.22,4.34,1.1491089677912716
1858,CANDIDATE,1.2207037,2.186,25580.0,25580.0,17.4662,5991.0,1.06,4.43,1.1919345306882598
1860,CANDIDATE,3.0235362,2.189,26980.0,26980.0,13.178,5141.0,0.78,4.6,1.1466582918028891
1861,CANDIDATE,3.4562767,2.3613816,20448.8800177,20448.8800177,10.5605032,4404.0,0.752032,4.52,0.6398584974053455
1862,CANDIDATE,1.0649771,1.425,14670.0,14670.0,12.4794,5427.0,0.97,4.45,1.1679791729018192
1863,CANDIDATE,0.8715953,1.271,6610.0,6610.0,10.5535,5969.0,1.21,4.31,1.0651733151891647
1864,CANDIDATE,11.4856846,4.6321783,11370.1513147,11370.1513147,16.3774861,5893.0,1.42198,4.16,0.97229269522946
1866,CANDIDATE,9.7130596,1.661,3540.0,3540.0,12.3196,6125.1,1.88,4.0,0.1361220479932795
1867,CANDIDATE,6.6314357,2.5431694,10550.9077716,10550.9077716,13.188691,5752.2,1.07899,4.4,0.5421377923685853
1869,CANDIDATE,18.1960491,4.8596477,2203.3245309,2203.3245309,8.8304863,7811.0,1.67013,4.25974,0.0764480876761603
1870,CANDIDATE,,4.8897805,2801.2247588,2801.2247588,5.8424203,5349.16,0.95524,4.438,-0.36700173242169
1871,CANDIDATE,7.4547813,7.1681685,2508.5862836,2508.5862836,14.5247965,6502.0,2.8327301,3.65751,-0.1873059155735277
1872,CANDIDATE,3.1054901,4.8079092,6155.7750978,6155.7750978,15.7521647,7176.0,1.90224,4.13,-0.3585469002617697
1873,CANDIDATE,0.152076,0.5,105147.465567,105147.465567,,5780.0,,4.438,2.622639172706085
1874,CANDIDATE,3.9299344,1.2628875,2252.0354917,2252.0354917,,5780.0,,4.438,-0.2430587943092349
1875,CANDIDATE,15.3281169,4.1138054,30096.5339932,30096.5339932,16.4071897,5417.0,0.943467,4.46174,1.7188298681905427
1877,CANDIDATE,0.9112206,2.003082,71047.5639651,71047.5639651,7.3931803,2999.0,0.274907,4.95462,2.5396225235996206
1881,CANDIDATE,9.7439744,1.9764395,6711.0590566,6711.0590566,9.5314099,5383.0,0.983025,4.438,-0.3940817020933189
1882,CANDIDATE,1.4436706,2.134,43370.0,43370.0,20.6713,5465.0,0.94,4.47,0.5096050686228045
1883,CANDIDATE,0.3125737,0.526,4540.0,4540.0,8.09753,5202.0,0.84,4.53,0.9947776474228712
1884,CANDIDATE,0.5136096,0.7873882,3098.8049112,3098.8049112,7.4237633,5270.0,1.33222,4.14,1.20038936284818
1885,CANDIDATE,4.773751,1.7107074,11156.3496198,11156.3496198,14.861327,5904.3,1.2413,4.28,1.0830632499043582
1886,CANDIDATE,3.375591,3.489,11630.0,11630.0,13.2361,6408.0,1.22,4.38,0.5583735207916198
1888,CANDIDATE,2.229735,2.044445,6708.4441146,6708.4441146,12.7809294,5913.0,1.37479,4.2,1.149721636788368
1890,CANDIDATE,0.9270535,1.011,1640.0,1640.0,,6317.3,,4.31,0.3946683647676556
1891,CANDIDATE,2.967599,1.688,10410.0,10410.0,8.00413,4396.0,0.76,4.52,0.924320712756868
1892,CANDIDATE,4.7277153,2.5,4000.0,4000.0,6.45464,5601.0,1.05,4.39,1.0547579422385374
1893,CANDIDATE,7.7898378,3.095,11390.0,11390.0,9.36784,5091.5,0.85,4.48,1.186910644912075
1894,CANDIDATE,2.7985528,2.459,12220.0,12220.0,12.3741,5416.0,1.09,4.33,1.1718389875835216
1895,CANDIDATE,8.8759249,3.8366417,25757.0688203,25757.0688203,16.5775949,5528.3,1.02337,4.38,1.1389386624394842
1896,CANDIDATE,1.2558789,1.795,22260.0,22260.0,14.1053,4926.0,0.91,4.43,0.7163808551425956
1899,CANDIDATE,5.0183771,3.218,2500.0,2500.0,10.7644,5011.2,2.15,4.49,0.3683848647922513
1900,CANDIDATE,3.6257584,2.814,10450.0,10450.0,12.2058,5606.0,1.17,4.3,0.9125574680126314
1901,CANDIDATE,3.790687,2.958,15240.0,15240.0,12.9604,5542.0,1.02,4.41,1.1663249666096602
1902,CANDIDATE,0.58228,0.691,3170.0,3170.0,7.80197,6288.0,1.32,4.29,0.7051077455960354
1904,CANDIDATE,2.8456505,2.556,2681.0,2681.0,6.4972,6112.0,1.3,4.27,-0.7304369814988453
1905,CANDIDATE,,1.445,22040.0,22040.0,16.6553,5212.0,1.11,4.3,-2.803034931773812
1907,CANDIDATE,1.1159326,1.013,840.0,840.0,6.17322,6859.0,1.68,4.16,-0.8489271655371495
1910,CANDIDATE,12.9281223,3.9850989,4105.1705253,4105.1705253,9.974436,6332.0,1.39271,,-1.2040301162538043
1912,CANDIDATE,10.7189647,3.9269424,7404.3059814,7404.3059814,22.4497849,7830.0,2.0715599,4.07,-0.5455334781753699
1913,CANDIDATE,1.9126596,2.178,372.0,372.0,2.2474,5601.4,1.24,4.24,-1.665860006264526
1914,CANDIDATE,7.2972359,0.827,3780.0,3780.0,13.2402,6433.0,2.1,3.91,-0.8447610163568988
1916,CANDIDATE,3.4082154,3.901,10060.0,10060.0,16.7879,6231.4,1.59,4.11,0.701125397114913
1917,CANDIDATE,6.4967452,1.8,4930.0,4930.0,19.5904,5186.9,1.53,,-0.4380100691850789
1918,CANDIDATE,3.4523955,1.624,13260.0,13260.0,10.2673,5614.0,0.94,4.49,1.1489251670921434
1919,CANDIDATE,3.8539027,2.906,14520.0,14520.0,11.8808,5805.0,0.93,4.52,0.5400547177784594
1920,CANDIDATE,5.066175,6.2992409,1350.0,1350.0,7.69012,5868.0,2.17,3.57327,-0.9131961433324864
1922,CANDIDATE,3.1292868,1.545,7430.0,7430.0,12.0419,6078.0,1.32,4.25,0.3708968076803432
1923,CANDIDATE,2.5981987,1.412,14260.0,14260.0,11.5397,5516.0,0.93,4.49,0.6835417968982678
1924,CANDIDATE,1.5292851,1.167,2800.0,2800.0,12.6875,6295.5,2.21,,0.5389519135836875
1925,CANDIDATE,2.4756487,2.461,4370.0,4370.0,5.25914,4633.0,0.8,4.5,1.0614973012065905
1926,CANDIDATE,3.4711465,1.606,10070.0,10070.0,11.1759,5593.0,1.05,4.39,1.0771816275322392
1927,CANDIDATE,3.5746058,1.153,6040.0,6040.0,11.6965,6257.0,1.37,4.25,0.8708347093104162
1928,CANDIDATE,4.0944492,4.233,5890.0,5890.0,12.8011,5650.0,1.6,4.03,0.5154866909949234
1929,CANDIDATE,2.1415519,2.989,1060.0,1060.0,4.72287,5530.0,1.48,4.08,-0.134861449422138
1930,CANDIDATE,3.4180406,2.242,5200.0,5200.0,6.58171,5001.0,0.89,4.46,0.661975848200499
1932,CANDIDATE,3.8821916,3.126,2670.0,2670.0,5.57096,5283.0,0.95,,0.618170014908159
1933,CANDIDATE,3.6506781,2.79,20370.0,20370.0,12.1655,5343.0,0.84,4.55,1.1076312766878953
1934,CANDIDATE,1.3225635,1.683,13750.0,13750.0,11.5804,5388.0,0.97,4.44,1.076017556437758
1935,CANDIDATE,0.5566811,0.473,3250.0,3250.0,13.2433,5200.0,1.7,,0.9101680589239584
1936,CANDIDATE,6.409365,1.707,11300.0,11300.0,12.1252,6191.0,1.12,4.41,0.5589861897887163
1937,CANDIDATE,4.3169755,4.523,4670.0,4670.0,10.9284,5683.0,1.61,4.03,0.9721701614300412
1938,CANDIDATE,5.8259928,2.442,12800.0,12800.0,14.0157,4964.0,1.2,4.19,0.9156208129981092
1942,CANDIDATE,4.6636858,2.604,11110.0,11110.0,12.5117,5720.0,1.16,4.32,0.3099975093690333
