category,transit_period,transit_duration,transit_depth,transit_depth.1,planet_radius,star_temperature,star_radius,star_surface_gravity,star_brightness
CONFIRMED,25.0571312,7.5424225,533.486013,533.486013,3.2396838,5696.0,1.15281,4.26563,-1.1881619892290265
CONFIRMED,24.2454967,3.3725583,6260.6703602,6260.6703602,3.878568,3535.0,0.465271,4.84874,-0.8009551830645577
CANDIDATE,14.2545623,4.7250029,7899.6939555,7899.6939555,10.7048234,5739.0,1.09597,4.28235,0.1345903755005406
CONFIRMED,14.1758947,3.7543827,907.1324529,907.1324529,2.6231641,5723.87,0.864173,4.438,-1.7838600551051524
CONFIRMED,19.5901578,4.002861,1182.6678641,1182.6678641,3.0026428,5723.87,0.864173,4.438,-1.7838600551051524
CONFIRMED,6.2036219,3.01098,548.9044399,548.9044399,2.056748,5723.87,0.864173,4.438,-1.7838600551051524
CONFIRMED,3.79589,2.4602856,317.5272928,317.5272928,1.553135,5723.87,0.864173,4.438,-1.7838600551051524
FALSE POSITIVE,2.2645386,3.8193701,15019.9420903,15019.9420903,5.1936764,3443.0,0.411471,4.81617,1.3694860060465868
CONFIRMED,3.4447015,1.912,796.0,796.0,2.00495,3912.0,0.63,4.62642,-1.007583929025046
CONFIRMED,3.0300715,2.5466671,21794.6136956,21794.6136956,12.7529892,5242.82,0.857369,4.52404,-0.330241592595949
CONFIRMED,12.72038,2.401,1070.0,1070.0,4.96046,6212.0,1.48,4.17664,-0.7885180024235161
CONFIRMED,6.238755,3.6178567,373.5681138,373.5681138,2.9728283,6212.0,1.47768,4.17664,-0.7885180024235161
